,Player,In game role of the player,SRV Total,SRV failed,SRV very good,SRV perfect,REC Total,REC Failed,REC poor,REC very good,REC perfect,Attack 1 Total,Attack 1 failed,Attack 1 blocked,Attack 1 perfect,Attack 2 Total,Attack 2 failed,Attack 2 blocked,Attack 2 perfect,Block Total ,Block error,Block violation in the net,Block perfect,Setting Total,Setting error
Ethnikos Alexandroupolis,1 MOUCHLIAS D.,O,1,,,,,,,,,2,,1,1,2,1,,1,,,,,1,
Ethnikos Alexandroupolis,10 MIROS D.,L,,,,,4,2,,1,1,,,,,,,,,,,,,,
Ethnikos Alexandroupolis,12 STIGGAS,M,302,27,51,7,7,,,2,2,147,14,11,74,55,4,5,31,214,85,6,58,18,1
Ethnikos Alexandroupolis,13 PALENTZAS,O,302,75,47,29,1,1,,,,335,50,28,168,230,32,21,120,120,45,1,42,20,2
Ethnikos Alexandroupolis,14 TSELIOS,M,167,33,16,12,9,4,1,,,85,9,5,43,35,3,,20,156,61,3,32,10,4
Ethnikos Alexandroupolis,15 KONSTANTINIDIS A.,L,,,,,29,3,1,4,8,,,,,,,,,,,,,6,1
Ethnikos Alexandroupolis,16 STOILOUDIS. V.,H,2,,,,,,,,,,,,,,,,,,,,,,
Ethnikos Alexandroupolis,18 KONTOSTATHIS,L,,,,,475,22,25,129,119,,,,,,,,,,,,,58,1
Ethnikos Alexandroupolis,2 KAVARATZIS,H,10,2,4,,6,3,1,,,5,,,2,2,1,,1,3,2,,1,2,1
Ethnikos Alexandroupolis,3 VLAHOPOULOS,S,36,1,4,2,2,1,,,,1,,,1,,,,,10,5,,,187,5
Ethnikos Alexandroupolis,4 JUAREZ G.,H,259,39,38,9,608,23,46,140,177,282,19,15,146,208,19,11,76,118,43,2,29,35,1
Ethnikos Alexandroupolis,5 CHATZOPOULOS,M,78,7,14,3,4,2,,,,26,6,,14,17,,,13,36,14,,5,5,
Ethnikos Alexandroupolis,6 VANEGAS D.,H,270,56,44,13,333,27,24,75,109,352,39,30,160,190,12,14,85,101,41,2,19,48,3
Ethnikos Alexandroupolis,7 CHARALAMBIDIS S.,H,10,3,1,1,2,1,,,,3,,,2,3,,,2,3,2,,1,,
Ethnikos Alexandroupolis,8  CHARITONIDIS,S,250,11,51,12,9,1,,,,21,,,11,17,2,3,6,112,47,2,16,1028,15
Ethnikos Alexandroupolis,Team,,1687,254,270,88,1489,90,98,351,416,1259,137,90,622,759,74,54,355,873,345,16,203,1418,34
Iraklis Chalkidas,1 TAPIA H.,O,202,70,40,10,1,,,,,439,37,53,218,300,17,39,123,132,39,2,19,37,5
